Day,Month,Year,States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
3,1,2016,Himachal Pradesh,30,,21.5,71.5,159,137.5,106,88,31.5,29,142,145,77,80,,,33.5,180,17,12.5,22.5,32.5
3,1,2016,Madhya Pradesh,26,17.6,20.2,61.4,136.2,125.2,97.6,75.4,33.4,38.6,120.4,98.6,64.4,68.6,87.8,57.75,35.2,221,14.6,11.6,19.6,25
3,1,2016,Maharashtra,28.5,26.5,29,69.5,146.5,154,114.5,84,30,36,116.5,103,83.5,86.5,91,67,43.5,235,17,20.5,25.5,30
3,1,2016,Odisha,24.67,21,22.67,65,133,133,100,73.33,34.67,34,,113.33,54,80.5,91.67,63.33,36.67,180,17,12.67,22.67,28.33
3,1,2016,Puducherry,28,32,26,72,160,160,115,90,32,36,123,119,82,,87,54,45,250,17,20,22,35
3,1,2016,Tamil Nadu,29.6,31.4,27.5,71.4,154,161.2,108.2,92.5,33,36,127.8,137,82,88,92,59,45,216,16.6,20.4,23.6,35
3,1,2016,Telangana,27.6,27.4,29,65.4,155.4,158.6,112.8,83,30,39.8,113.6,111,68,86.33,89.8,59.6,41.8,182.4,13.2,20.4,25.2,37.8
3,1,2016,Uttarakhand,22.5,20.75,22,70.5,140.5,121.25,113.75,102.25,31.5,38,133.75,93.25,77.5,84.5,107,,35,221.25,17,15.5,25.75,30.5
3,1,2016,West Bengal,29,20,22.5,71.5,146,116,111,89,35,34,136,120,67,78.5,98,63,39,132.5,9.5,9.5,27.5,21.5
4,1,2016,Average Price,27.14,23.17,24.49,68.15,147.39,140.55,105.94,85.01,32.84,39.58,124.59,113.83,71.21,81.42,96.6,63.24,39.23,203.29,15.18,15.15,23.32,31.24
4,1,2016,Maximum Price,40,36,46,80,180,180,130,107,45,60,175,173,101,120,142,96,55,290,20,31,38,50
4,1,2016,Minimum Price,19,15,19,56,114,90,76,68,26,28,72,80,47,60,77,50,26,122,6,6,11,15
4,1,2016,Modal Price,30,18,22,70,150,120,100,90,31,40,135,100,75,75,105,58,36.5,180,17,12,25,30
4,1,2016,Andaman and Nicobar,36,27,46,78,146,158,99,89,42,,,139,,,126,69,54,,16,,36,50
4,1,2016,Andhra Pradesh,28,26,27,72,160,163,118,90,29,39,113,109,74,,89,59,46,183,12,16,21,24
4,1,2016,Assam,24,23,25,66,114,134,97,85,35,44,,80,64,75,,,36,130,6,15,25,30
4,1,2016,Bihar,23.33,17.33,20,65,141,137.5,102.5,74,31.67,37.5,,106.67,55.33,84.67,121.5,61.67,33.33,230,12.67,9.33,17.67,19
4,1,2016,Chandigarh,28,18,22,65,145,125,100,85,32,44,122,100,72,86,100,,35,225,17,10,18,28
4,1,2016,Chhattisgarh,21,24,27,70,140,126,100,72,36,38,120,96,64,80,90,65,36,180,9,14,22,30
4,1,2016,Delhi,29,19,21,73,159,144,104,,34,38,147,138,76,86,105,,44,201,17,13,29,43
4,1,2016,Goa,36,31,25,80,,180,130,95,34,44,175,173,97,92,98,63,45,240,16,25,33,50
4,1,2016,Gujarat,24.75,20.5,23.5,70.5,132,143.75,105,75,29.5,46.5,109,90.67,58.25,75.25,84.5,56.25,44.25,276,16.5,12.5,21.5,24.75
4,1,2016,Haryana,26.5,17.75,21.25,64.25,159.75,128.25,96.75,82.5,31.75,45.5,122.75,100.5,73,83,97,71,38.25,180,17.75,12.75,23.25,31.25
4,1,2016,Himachal Pradesh,30,,21.5,72,162,137.5,102.5,89.25,32.75,33,133,145.25,77,78.75,94,63.5,34,178.75,17.5,10.75,20.75,33.75
4,1,2016,Jammu and Kashmir,28,19,21.5,72.5,154,134,100,88,42,38.5,,135.5,86,109,130.5,92,38,234,18,15,22.5,27.5
4,1,2016,Jharkhand,29,22,22,70,140,,115,76,34,38,132,122,60,80,95,65,35,260,18,14,20,20
